f_ghz,gain_imb_db,phase_imb_deg,cm_leak_dbc
2.818382929999999842e+00,0.000000000000000000e+00,3.300000059880403569e-07,-2.985956059200000254e+02
2.884031499999999859e+00,0.000000000000000000e+00,-2.999999537678377237e-08,-2.928629508899999792e+02
2.951209229999999906e+00,0.000000000000000000e+00,3.899999967416079016e-07,-2.980338048899999990e+02
3.019951719999999895e+00,0.000000000000000000e+00,2.700000152344728122e-07,-2.952638531200000216e+02
3.090295429999999843e+00,0.000000000000000000e+00,2.300000119248579722e-07,-2.998329217900000003e+02
3.162277659999999990e+00,0.000000000000000000e+00,-8.000000661922967993e-08,-2.969949230299999954e+02
3.235936569999999790e+00,0.000000000000000000e+00,2.000001586566213518e-08,-2.934669849599999907e+02
3.311311209999999949e+00,0.000000000000000000e+00,2.200000039920269046e-07,-3.012775326299999961e+02
3.388441559999999964e+00,0.000000000000000000e+00,3.199999980552092893e-07,-3.029113270700000271e+02
3.467368500000000076e+00,0.000000000000000000e+00,1.900000086152431322e-07,-2.991798252499999649e+02
3.548133889999999901e+00,0.000000000000000000e+00,-1.600000132384593599e-07,-2.985837221099999965e+02
3.630780549999999884e+00,0.000000000000000000e+00,3.999999762527295388e-07,-2.969917905300000029e+02
3.715352289999999780e+00,0.000000000000000000e+00,1.900000086152431322e-07,-3.005312413300000003e+02
3.801893960000000128e+00,0.000000000000000000e+00,-2.900000026784255169e-07,-2.960765093100000058e+02
3.890451450000000033e+00,0.000000000000000000e+00,-3.099999901223782217e-07,-3.021112901699999611e+02
3.981071710000000152e+00,0.000000000000000000e+00,9.999999406318238471e-08,-2.948510585799999717e+02
4.073802780000000290e+00,0.000000000000000000e+00,1.800000006824120646e-07,-2.969938381599999957e+02
